[2018-12-07 12:20:13,215] [INFO] [bogon][lanuchapp.py - line:35] 清除数据缓存命令:adb -s 192.168.56.101:5555 shell pm clear com.tencent.qqmusic
[2018-12-07 12:20:13,503] [INFO] [bogon][lanuchapp.py - line:53] 启动app命令:adb -s 192.168.56.101:5555 shell am start -W com.tencent.qqmusic/com.tencent.qqmusic.activity.AppStarterActivity
[2018-12-07 12:20:16,514] [INFO] [bogon][lanuchapp.py - line:64] 启动时间计算异常!:unsupported operand type(s) for /: 'str' and 'int'
[2018-12-07 12:20:16,514] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/lanuch_app.log文件完成
[2018-12-07 12:20:16,589] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:20:16,589] [INFO] [bogon][logintest.py - line:68] appium启动命令:appium --log /Users/xinxi/PycharmProjects/maxauto/report/tmp/appium_log --session-override --udid 192.168.56.101:5555 -a 127.0.0.1 -p 4725
[2018-12-07 12:20:21,026] [INFO] [bogon][logintest.py - line:74] 启动appium中...
[2018-12-07 12:20:21,026] [INFO] [bogon][logintest.py - line:76] appium启动成功
[2018-12-07 12:20:28,374] [INFO] [bogon][logintest.py - line:138] 启动app中.....
[2018-12-07 12:21:10,241] [INFO] [bogon][logintest.py - line:151] 登录成功
[2018-12-07 12:21:10,364] [INFO] [bogon][logintest.py - line:57] 停止appium进程:35043
[2018-12-07 12:21:10,365] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/login_app.log文件完成
[2018-12-07 12:21:10,365] [INFO] [bogon][monkey.py - line:133] 删除设备中crash命令:adb -s 192.168.56.101:5555 shell rm -rf /sdcard/crash-dump.log
[2018-12-07 12:21:10,428] [INFO] [bogon][monkey.py - line:247] 清除logcat日志
[2018-12-07 12:21:10,429] [INFO] [bogon][common.py - line:39] push本地文件到设备命令:adb -s 192.168.56.101:5555 push /Users/xinxi/PycharmProjects/maxauto/monkey/libs/monkey.jar /sdcard/
[2018-12-07 12:21:10,456] [INFO] [bogon][common.py - line:39] push本地文件到设备命令:adb -s 192.168.56.101:5555 push /Users/xinxi/PycharmProjects/maxauto/monkey/libs/framework.jar /sdcard/
[2018-12-07 12:21:10,493] [INFO] [bogon][common.py - line:39] push本地文件到设备命令:adb -s 192.168.56.101:5555 push /Users/xinxi/PycharmProjects/maxauto/monkey/config/max.config /sdcard/
[2018-12-07 12:21:10,564] [INFO] [bogon][common.py - line:54] 未查询到pid
[2018-12-07 12:21:10,619] [INFO] [bogon][common.py - line:58] 结束:logcat,进程号:35085
[2018-12-07 12:21:10,619] [INFO] [bogon][monkey.py - line:65] Monkey执行命令:adb -s 192.168.56.101:5555 shell CLASSPATH=/sdcard/monkey.jar:/sdcard/framework.jar exec app_process /system/bin tv.panda.test.monkey.Monkey -p com.tencent.qqmusic --uiautomatordfs --imagepolling --running-minutes 1 --throttle 500 > /Users/xinxi/PycharmProjects/maxauto/report/tmp/monkey.log
[2018-12-07 12:21:13,651] [INFO] [bogon][monkey.py - line:188] 当前monkey进程pid:5418
[2018-12-07 12:21:13,652] [INFO] [bogon][monkey.py - line:71] ==========Monkey运行中...==========
[2018-12-07 12:21:17,342] [INFO] [bogon][monkey.py - line:188] 当前monkey进程pid:5418
[2018-12-07 12:21:17,342] [INFO] [bogon][monkey.py - line:71] ==========Monkey运行中...==========
[2018-12-07 12:21:20,975] [INFO] [bogon][monkey.py - line:188] 当前monkey进程pid:5418
[2018-12-07 12:21:20,975] [INFO] [bogon][monkey.py - line:71] ==========Monkey运行中...==========
[2018-12-07 12:21:24,928] [INFO] [bogon][monkey.py - line:188] 当前monkey进程pid:5418
[2018-12-07 12:21:24,929] [INFO] [bogon][monkey.py - line:71] ==========Monkey运行中...==========
